English,Polish
doing,czyn
already,już
development,rozwój
social,społeczny
open,otwarty
possible,możliwy
side,Strona
play,bawić się
means,znaczy
needs,wymagania
try,próbować
came,wszedł
ca,ca.
based,na podstawie
hard,twardy
thought,myśl
products,produkty
national,krajowy
quality,jakość
level,poziom
live,na żywo
design,projekt
makes,sprawia
project,projekt
line,linia
night,noc
least,najmniej
whether,czy
job,stanowisko
car,samochód
example,przykład
include,włączać
following,Następny
given,dany
website,Strona internetowa
past,przeszłość
plan,plan
offer,oferta
buy,kupić
call,połączenie
went,poszedł
simply,po prostu
hand,ręka
music,muzyka
easy,łatwo
problem,problem
men,mężczyźni
country,kraj
took,wzięła
four,cztery
members,członkowie
form,Formularz
personal,osobisty
control,kontrola
energy,energia
room,Pokój
head,głowa
pay,płacić
create,Stwórz
run,biegać
kind,uprzejmy
credit,kredyt
almost,prawie
believe,uwierzyć
quite,całkiem
mind,umysł
law,prawo
early,wczesny
comes,pochodzi
states,Stany
usually,zwykle
companies,Firmy
web,sieć
taking,nabierający
started,zaczęła się
later,później
although,Chociaż
story,fabuła
per,za
future,przyszły
known,znany
someone,ktoś
across,przez
rather,raczej
young,młody
whole,cały
special,specjalny
everything,wszystko
months,miesiące
anything,wszystko
training,szkolenie
url,URL.
bit,fragment
seen,widziany
product,produkt
american,amerykański
please,Proszę
management,kierownictwo
cost,koszt
either,albo
light,lekki
university,Uniwersytet
face,Twarz
due,należny
nothing,nic
human,człowiek
event,wydarzenie
history,historia
probably,prawdopodobnie
friends,przyjaciele
learn,uczyć się
current,obecny
tell,powiedzieć
general,ogólny
price,Cena £
list,lista
type,rodzaj
building,budynek
industry,przemysł
bad,zły
check,sprawdzać
everyone,wszyscy
office,Biuro
idea,pomysł
internet,Internet
news,Aktualności
million,milion
video,wideo
among,wśród
air,powietrze
especially,zwłaszcza
told,powiedział
results,wyniki
post,Poczta
hours,godziny
international,międzynarodowy
center,środek
understand,Rozumiesz
above,nad
addition,dodatek
major,poważny
education,Edukacja
white,biały
particular,szczególny
problems,problemy
media,głoska bezdźwięczna
according,według
upon,od
page,strona
continue,kontyntynuj
black,czarny
study,badanie
issues,zagadnienia
inside,wewnątrz
technology,technologia
five,pięć
value,wartość
further,dalej
access,dostęp
reason,powód
short,niski
truth,prawda
simple,prosty
natural,naturalny
amount,ilość
search,Szukaj
result,wynik
taken,zajęty
main,Główny
heart,serce
space,przestrzeń
financial,budżetowy
ago,temu
trying,próbować
question,pytanie
living,żyjący
likely,prawdopodobne
interest,zainteresowanie
various,różny
insurance,ubezpieczenie
common,pospolity
move,ruszaj się
child,dziecko
yourself,się
report,raport
certain,pewny
share,udział
single,pojedynczy
close,blisko
instead,zamiast
bring,przynieść
works,Pracuje
age,wiek
s,s
season,pora roku
hope,mieć nadzieję
coming,nadchodzący
areas,obszary
ask,zapytać się
medical,medyczny
low,Niska
games,Gry
turn,zakręt
key,klucz
party,impreza
add,Dodaj
month,miesiąc
seems,wydaje się
view,pogląd
fun,zabawa
matter,materiał
words,słowa
needed,potrzebne
